"TimeGenerated [Local Time]","ContainerImage_s","ContainerName_s","RevisionName_s","Log_s"
"3/29/2026, 8:04:29.250 PM","docker.io/mdresch/adpa-backend:latest",backend,"adpa-backend--0000001","🔍 DATABASE_URL check: Found (postgresql://postgres.[YOUR-PR...)"
"3/29/2026, 8:04:29.250 PM","docker.io/mdresch/adpa-backend:latest",backend,"adpa-backend--0000001","🔍 NODE_ENV: production"
"3/29/2026, 8:04:29.250 PM","docker.io/mdresch/adpa-backend:latest",backend,"adpa-backend--0000001","🔧 DB config: connect timeout=60000ms, query timeout=15000ms, max retries per method=1"
"3/29/2026, 8:04:29.250 PM","docker.io/mdresch/adpa-backend:latest",backend,"adpa-backend--0000001","🔌 Attempting connection via DATABASE_URL..."
"3/29/2026, 8:04:29.250 PM","docker.io/mdresch/adpa-backend:latest",backend,"adpa-backend--0000001","🔌 Trying database connection via DATABASE_URL (attempt 1/1)"
"3/29/2026, 8:04:29.250 PM","docker.io/mdresch/adpa-backend:latest",backend,"adpa-backend--0000001","🔧 Using Supabase Transaction Pooler (port 6543) - attempting DNS resolution"
"3/29/2026, 8:04:29.250 PM","docker.io/mdresch/adpa-backend:latest",backend,"adpa-backend--0000001","🔧 Resolving aws-1-us-east-1.pooler.supabase.com via dns.lookup (pooler)..."
"3/29/2026, 8:04:29.250 PM","docker.io/mdresch/adpa-backend:latest",backend,"adpa-backend--0000001","⏳ Database connection already in progress, waiting..."
"3/29/2026, 8:04:29.250 PM","docker.io/mdresch/adpa-backend:latest",backend,"adpa-backend--0000001","⏳ Database connection already in progress, waiting..."
"3/29/2026, 8:04:29.250 PM","docker.io/mdresch/adpa-backend:latest",backend,"adpa-backend--0000001","⏳ Database connection already in progress, waiting..."
"3/29/2026, 8:04:29.250 PM","docker.io/mdresch/adpa-backend:latest",backend,"adpa-backend--0000001","⏳ Database connection already in progress, waiting..."
"3/29/2026, 8:04:29.250 PM","docker.io/mdresch/adpa-backend:latest",backend,"adpa-backend--0000001","⏳ Database connection already in progress, waiting..."
"3/29/2026, 8:04:29.250 PM","docker.io/mdresch/adpa-backend:latest",backend,"adpa-backend--0000001","[GKG] Registering GKG sync processors..."
"3/29/2026, 8:04:29.250 PM","docker.io/mdresch/adpa-backend:latest",backend,"adpa-backend--0000001","No logging configuration. Using default config"
"3/29/2026, 8:04:29.250 PM","docker.io/mdresch/adpa-backend:latest",backend,"adpa-backend--0000001","⏳ Database connection already in progress, waiting..."
"3/29/2026, 8:04:29.250 PM","docker.io/mdresch/adpa-backend:latest",backend,"adpa-backend--0000001","⏳ Database connection already in progress, waiting..."
"3/29/2026, 8:04:29.250 PM","docker.io/mdresch/adpa-backend:latest",backend,"adpa-backend--0000001","Langfuse secret key was not passed to constructor or not set as 'LANGFUSE_SECRET_KEY' environment variable. No observability data will be sent to Langfuse."
"3/29/2026, 8:04:29.250 PM","docker.io/mdresch/adpa-backend:latest",backend,"adpa-backend--0000001","⏳ Database connection already in progress, waiting..."
"3/29/2026, 8:04:29.250 PM","docker.io/mdresch/adpa-backend:latest",backend,"adpa-backend--0000001","{""level"":30,""time"":1774807467363,""pid"":1,""hostname"":""adpa-backend--0000001-7f648df56-85plh"",""msg"":""AI Service initialized - will fetch AI Gateway key from database""}"
"3/29/2026, 8:04:29.250 PM","docker.io/mdresch/adpa-backend:latest",backend,"adpa-backend--0000001","{""level"":40,""time"":1774807467486,""pid"":1,""hostname"":""adpa-backend--0000001-7f648df56-85plh"",""msg"":""MONGODB_URI not set. MongoVectorStore will not function until initialized with valid URI.""}"
"3/29/2026, 8:04:29.250 PM","docker.io/mdresch/adpa-backend:latest",backend,"adpa-backend--0000001","{""level"":40,""time"":1774807467553,""pid"":1,""hostname"":""adpa-backend--0000001-7f648df56-85plh"",""msg"":""Pinecone API key not configured""}"
"3/29/2026, 8:04:29.250 PM","docker.io/mdresch/adpa-backend:latest",backend,"adpa-backend--0000001","{""level"":30,""time"":1774807467553,""pid"":1,""hostname"":""adpa-backend--0000001-7f648df56-85plh"",""msg"":""Pinecone service initialized without API key (waiting for dynamic config or ENV)""}"
"3/29/2026, 8:04:29.250 PM","docker.io/mdresch/adpa-backend:latest",backend,"adpa-backend--0000001","{""level"":30,""time"":1774807467585,""pid"":1,""hostname"":""adpa-backend--0000001-7f648df56-85plh"",""msg"":""[REDIS] Attempting connection via Primary/Local: redis://localhost:6379""}"
